Exercise ID,Exercise Name,YouTube URL,Video ID,Expected CDN URL,CDN Exists,Status
reverse_barbell_ez_bar_curls,"Reverse Barbell/EZ Bar Curls",https://youtube.com/shorts/9Yyw_N4o2sM?si=fYZ2XK5_VWYavvx2,9Yyw_N4o2sM,https://unclerommy.b-cdn.net/9Yyw_N4o2sM.mp4,YES,CDN OK
reverse_dumbbell_curl,"Reverse Dumbbell Curls",https://youtube.com/shorts/VEb1Uz0IJ1w?feature=share,VEb1Uz0IJ1w,https://unclerommy.b-cdn.net/VEb1Uz0IJ1w.mp4,YES,CDN OK
reverse_grip_barbell_press,"Reverse Grip Barbell Press",https://youtube.com/shorts/Cjb0oK1lbHA?feature=share,Cjb0oK1lbHA,https://unclerommy.b-cdn.net/Cjb0oK1lbHA.mp4,YES,CDN OK
reverse_grip_pushdown,"Reverse Grip Pushdowns",,,,,No Video URL
reverse_hyperextensions,"Reverse Hyperextensions",https://youtube.com/shorts/SDv9cJ_KmGo?feature=share,SDv9cJ_KmGo,https://unclerommy.b-cdn.net/SDv9cJ_KmGo.mp4,NO,CDN MISSING
reverse_incline_flyes,"Reverse Incline Flyes",https://youtube.com/shorts/6vrlwEdrkTA?si=ujeeGkVESneRpR9h,6vrlwEdrkTA,https://unclerommy.b-cdn.net/6vrlwEdrkTA.mp4,NO,CDN MISSING
reverse_lunges,"Reverse Lunges",https://youtube.com/shorts/blQOb3eFwlo?si=zfeXWIdTHepXJ1Qg,blQOb3eFwlo,https://unclerommy.b-cdn.net/blQOb3eFwlo.mp4,YES,CDN OK
reverse_nordics,"Reverse Nordics",https://youtube.com/shorts/wbxSxWOn9Eg?si=JSO-9nNArsdhTqde,wbxSxWOn9Eg,https://unclerommy.b-cdn.net/wbxSxWOn9Eg.mp4,YES,CDN OK
reverse_pec_dec_flyes,"Reverse Pec Dec Flyes",https://youtube.com/shorts/1Dacowkc5cM?feature=share,1Dacowkc5cM,https://unclerommy.b-cdn.net/1Dacowkc5cM.mp4,YES,CDN OK
reverse_plate_curl,"Reverse Plate Curls",https://youtube.com/shorts/Fwu50HYNlXM?feature=share,Fwu50HYNlXM,https://unclerommy.b-cdn.net/Fwu50HYNlXM.mp4,YES,CDN OK
reverse_plate_curls,"Reverse Plate Curls",https://youtube.com/shorts/EDC6SAo7AT8?si=koyLYBPizetE1hNM,EDC6SAo7AT8,https://unclerommy.b-cdn.net/EDC6SAo7AT8.mp4,YES,CDN OK
reverse_squats,"Reverse Squats",https://youtube.com/shorts/HWu3LfM1zq8?feature=share,HWu3LfM1zq8,https://unclerommy.b-cdn.net/HWu3LfM1zq8.mp4,YES,CDN OK
ring_around_the_rommy,"Ring Around The Rommy’s",https://www.youtube.com/shorts/yxwmnREdqB0,yxwmnREdqB0,https://unclerommy.b-cdn.net/yxwmnREdqB0.mp4,YES,CDN OK
romanian_deadlift,"Romanian Deadlift",https://youtube.com/shorts/HB9wcnBwrKs?si=VuEw23dvnYNSTT0T,HB9wcnBwrKs,https://unclerommy.b-cdn.net/HB9wcnBwrKs.mp4,YES,CDN OK
rope_attachment_tricep_superset,"Rope Attachment Tricep Superset",https://youtube.com/shorts/uyOy0-JxTuU?feature=share,uyOy0-JxTuU,https://unclerommy.b-cdn.net/uyOy0-JxTuU.mp4,YES,CDN OK
rope_attachment_upright_rows,"Rope Attachment Upright Rows",https://youtube.com/shorts/x69X23j0dw0?feature=share,x69X23j0dw0,https://unclerommy.b-cdn.net/x69X23j0dw0.mp4,YES,CDN OK
seated_barbell_good_mornings,"Seated Barbell Good Mornings",https://youtube.com/shorts/yVktQUdY4zs?feature=share,yVktQUdY4zs,https://unclerommy.b-cdn.net/yVktQUdY4zs.mp4,NO,CDN MISSING
seated_barbell_press,"Seated Barbell Press",https://youtube.com/shorts/p9dO0Gy6n7M?feature=share,p9dO0Gy6n7M,https://unclerommy.b-cdn.net/p9dO0Gy6n7M.mp4,YES,CDN OK
seated_cable_rows,"Seated Cable Rows",https://www.youtube.com/shorts/x69X23j0dw0,x69X23j0dw0,https://unclerommy.b-cdn.net/x69X23j0dw0.mp4,YES,CDN OK
seated_dumbbell_good_mornings,"Seated Dumbbell Good Mornings",https://youtube.com/shorts/yVktQUdY4zs?feature=share,yVktQUdY4zs,https://unclerommy.b-cdn.net/yVktQUdY4zs.mp4,NO,CDN MISSING
seated_dumbbell_press,"Seated Dumbbell Press",https://youtube.com/shorts/2weOCT4hyEY,2weOCT4hyEY,https://unclerommy.b-cdn.net/2weOCT4hyEY.mp4,YES,CDN OK
seated_reverse_incline_flyes,"Seated Reverse Incline Flyes",https://www.youtube.com/shorts/GLMF-XQFWx8,GLMF-XQFWx8,https://unclerommy.b-cdn.net/GLMF-XQFWx8.mp4,NO,CDN MISSING
shoulder_elixir_potion,"Shoulder Elixir Potion",https://youtube.com/shorts/QSy3l2Omekw?feature=share,QSy3l2Omekw,https://unclerommy.b-cdn.net/QSy3l2Omekw.mp4,YES,CDN OK
side_lying_leg_raises,"Side-Lying Leg Raises",https://youtube.com/shorts/brFIUlnUoUA?feature=share,brFIUlnUoUA,https://unclerommy.b-cdn.net/brFIUlnUoUA.mp4,NO,CDN MISSING
side_lying_leg_lift,"Side‑Lying Leg Lift",https://youtube.com/shorts/pKn8ST8oudM?si=7RhEZkTnwPZGoXcg,pKn8ST8oudM,https://unclerommy.b-cdn.net/pKn8ST8oudM.mp4,YES,CDN OK
single_arm_brachialis_cable_curl,"Single Arm Brachialis Cable Curls",https://youtube.com/shorts/EDC6SAo7AT8?si=koyLYBPizetE1hNM,EDC6SAo7AT8,https://unclerommy.b-cdn.net/EDC6SAo7AT8.mp4,YES,CDN OK
single_arm_brachialis_cable_curls,"Single Arm Brachialis Cable Curls",https://youtube.com/shorts/EDC6SAo7AT8?si=koyLYBPizetE1hNM,EDC6SAo7AT8,https://unclerommy.b-cdn.net/EDC6SAo7AT8.mp4,YES,CDN OK
single_arm_cable_rows,"Single Arm Cable Row",https://youtube.com/shorts/K3vYp2lhgKE?feature=share,K3vYp2lhgKE,https://unclerommy.b-cdn.net/K3vYp2lhgKE.mp4,YES,CDN OK
single_arm_db_extensions,"Single Arm DB Extensions",,,,,No Video URL
single_arm_db_overhead_extensions,"Single Arm DB Overhead Extensions",https://youtube.com/shorts/5LzZQSRwIU4?si=YeqzpjwoiaKrBCi1,5LzZQSRwIU4,https://unclerommy.b-cdn.net/5LzZQSRwIU4.mp4,YES,CDN OK
single_arm_dumbbell_press,"Single Arm Dumbbell Press (Standing Overhead)",https://youtube.com/shorts/jV3UFht-WfI?si=BJXR5nwjikHOTog5,jV3UFht-WfI,https://unclerommy.b-cdn.net/jV3UFht-WfI.mp4,YES,CDN OK
single_arm_farmer_carry,"Single Arm Farmer Carries",https://youtube.com/shorts/o6QeAALMWeA?si=pr-yTMidMNBpiPv6,o6QeAALMWeA,https://unclerommy.b-cdn.net/o6QeAALMWeA.mp4,YES,CDN OK
single_arm_hammer_curl,"Single Arm Hammer Curls",https://youtube.com/shorts/TTp-IS3K_6I?feature=share,TTp-IS3K_6I,https://unclerommy.b-cdn.net/TTp-IS3K_6I.mp4,NO,CDN MISSING
single_arm_hammer_curls,"Single Arm Hammer Curls",https://youtube.com/shorts/TTp-IS3K_6I?feature=share,TTp-IS3K_6I,https://unclerommy.b-cdn.net/TTp-IS3K_6I.mp4,NO,CDN MISSING
single_arm_incline_lateral_raise,"Single Arm Incline Lateral Raise",https://youtube.com/shorts/7e-h45-uYGM?feature=share,7e-h45-uYGM,https://unclerommy.b-cdn.net/7e-h45-uYGM.mp4,YES,CDN OK
single_arm_tricep_extensions,"Single Arm Tricep Extensions (DB Overhead)",https://youtube.com/shorts/7v1BO026F8I?si=nxRSReWPXhkNgzMC,7v1BO026F8I,https://unclerommy.b-cdn.net/7v1BO026F8I.mp4,YES,CDN OK
single_leg_db_rdls,"Single‑Leg DB RDLs",https://youtube.com/shorts/vYtA61hKcMc,vYtA61hKcMc,https://unclerommy.b-cdn.net/vYtA61hKcMc.mp4,YES,CDN OK
sissy_squats,"Sissy Squats",https://youtube.com/shorts/iNM906nuOQM?feature=share,iNM906nuOQM,https://unclerommy.b-cdn.net/iNM906nuOQM.mp4,YES,CDN OK
skull_crushers,"Skull Crushers",https://youtube.com/shorts/wN5h__DYRwg?si=cBZrFOUhf-KAMSTJ,wN5h__DYRwg,https://unclerommy.b-cdn.net/wN5h__DYRwg.mp4,YES,CDN OK
forearm_sledgehammer_sequence,"Sledgehammer Forearm Sequence",https://youtu.be/38C1yg-oDl4?si=outOAc7brItrOBxr,,,,Invalid YouTube URL
sledgehammer_forearm_sequence,"Sledgehammer Forearm Sequence",https://youtu.be/38C1yg-oDl4?si=outOAc7brItrOBxr,,,,Invalid YouTube URL
